film_id,title,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,category_name,actor_ids,rental_count
40,ARMY FLINTSTONES,2006,4,0.99,148,22.99,R,"{Trailers,Commentaries}",Documentary,"{3,77,79,96,104,181,183}",16
42,ARTIST COLDBLOODED,2006,5,2.99,170,10.99,NC-17,"{Trailers,""Behind the Scenes""}",Sports,"{3,23,43,62,105,117,194}",16
43,ATLANTIS CAUSE,2006,6,2.99,170,15.99,G,"{""Behind the Scenes""}",Family,"{28,34,123,126,130,141,160,161,189}",24
44,ATTACKS HATE,2006,5,4.99,113,21.99,PG-13,"{Trailers,""Behind the Scenes""}",Sci-Fi,"{18,74,106,193}",16
45,ATTRACTION NEWTON,2006,5,4.99,83,14.99,PG-13,"{Trailers,""Behind the Scenes""}",New,"{13,68,73,163}",24
46,AUTUMN CROW,2006,3,4.99,108,13.99,G,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Games,"{59,65,84}",11
47,BABY HALL,2006,5,4.99,153,23.99,NC-17,{Commentaries},Foreign,"{2,8,89,95,127,143,153,158}",8
48,BACKLASH UNDEFEATED,2006,3,4.99,118,24.99,PG-13,"{Trailers,""Behind the Scenes""}",Children,"{58,87,91,109,116,127,131}",19
49,BADMAN DAWN,2006,6,2.99,162,22.99,R,"{Trailers,Commentaries,""Behind the Scenes""}",Sci-Fi,"{83,115,118,119,130,171,173,200}",21
50,BAKED CLEOPATRA,2006,3,2.99,182,20.99,G,"{Commentaries,""Behind the Scenes""}",Family,{70},16
51,BALLOON HOMEWARD,2006,5,2.99,75,10.99,NC-17,"{""Deleted Scenes""}",Music,"{46,53,73,133,187,188}",23
52,BALLROOM MOCKINGBIRD,2006,6,0.99,173,29.99,G,"{Commentaries,""Deleted Scenes""}",Foreign,"{35,71,83,95,115,138,177}",8
53,BANG KWAI,2006,5,2.99,87,25.99,NC-17,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Family,"{6,30,47,70,102,149,156}",7
54,BANGER PINOCCHIO,2006,5,0.99,113,15.99,R,"{Trailers,Commentaries,""Deleted Scenes""}",Music,"{5,20,59,62,96,190}",22
55,BARBARELLA STREETCAR,2006,6,2.99,65,27.99,G,"{""Behind the Scenes""}",Sci-Fi,"{66,118,166,173,177}",25
56,BAREFOOT MANCHURIAN,2006,6,2.99,129,15.99,G,"{Trailers,Commentaries}",Action,"{4,22,33,43,129,136,137,168}",18
57,BASIC EASY,2006,4,2.99,90,18.99,PG-13,"{""Deleted Scenes""}",Travel,"{67,120,130,139,148,172}",21
58,BEACH HEARTBREAKERS,2006,6,2.99,122,16.99,G,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary,"{28,44,53,83,96,126,161}",17
59,BEAR GRACELAND,2006,4,2.99,160,20.99,R,"{""Deleted Scenes""}",Children,"{81,104,152}",22
60,BEAST HUNCHBACK,2006,3,4.99,89,22.99,R,"{""Deleted Scenes"",""Behind the Scenes""}",Classics,"{6,41,76,94,101}",11
61,BEAUTY GREASE,2006,5,4.99,175,28.99,G,"{Trailers,Commentaries}",Drama,"{111,136,138,166,174}",22
62,BED HIGHBALL,2006,5,2.99,106,23.99,NC-17,"{Trailers,Commentaries,""Deleted Scenes""}",Documentary,"{4,107,110,125,190}",6
63,BEDAZZLED MARRIED,2006,6,0.99,73,21.99,PG,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Family,"{20,51,56,120,150,167,197}",13
64,BEETHOVEN EXORCIST,2006,6,0.99,151,26.99,PG-13,"{Commentaries,""Behind the Scenes""}",Drama,"{30,119,124,153,158,196}",11
65,BEHAVIOR RUNAWAY,2006,3,4.99,100,20.99,PG,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Horror,"{32,45,95,135,179}",13
66,BENEATH RUSH,2006,6,0.99,53,27.99,NC-17,"{Commentaries,""Deleted Scenes""}",Children,"{45,76,96,98,101,131,158}",10
67,BERETS AGENT,2006,5,2.99,77,24.99,PG-13,"{""Deleted Scenes""}",Action,"{7,47,67,123,141,144,155,175,194,199}",21
68,BETRAYED REAR,2006,5,4.99,122,26.99,NC-17,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Children,"{58,76,114,166}",15
69,BEVERLY OUTLAW,2006,3,2.99,85,21.99,R,{Trailers},Sci-Fi,"{30,41,80,192}",21
70,BIKINI BORROWERS,2006,7,4.99,142,26.99,NC-17,"{Commentaries,""Deleted Scenes""}",Animation,"{6,104}",17
71,BILKO ANONYMOUS,2006,3,4.99,100,25.99,PG-13,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Family,"{39,93,183}",13
72,BILL OTHERS,2006,6,2.99,93,12.99,PG,"{Trailers,Commentaries}",Documentary,"{59,85,98,149,165,167}",19
73,BINGO TALENTED,2006,5,2.99,150,22.99,PG-13,"{Trailers,Commentaries}",Sci-Fi,"{39,63,77,176,187}",29
74,BIRCH ANTITRUST,2006,4,4.99,162,18.99,PG,"{Trailers,Commentaries,""Deleted Scenes""}",Music,"{9,28,95,139,173,181}",11
75,BIRD INDEPENDENCE,2006,6,4.99,163,14.99,G,"{Commentaries,""Behind the Scenes""}",Travel,"{55,150}",11
76,BIRDCAGE CASPER,2006,4,0.99,103,23.99,NC-17,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Music,"{88,94,122,187}",9
77,BIRDS PERDITION,2006,5,4.99,61,15.99,G,"{Trailers,""Behind the Scenes""}",New,"{30,73,109,140}",18
78,BLACKOUT PRIVATE,2006,7,2.99,85,12.99,PG,"{Trailers,""Deleted Scenes""}",Animation,"{23,77,111,169,181}",27
79,BLADE POLISH,2006,5,0.99,114,10.99,PG-13,"{Trailers,""Behind the Scenes""}",Drama,"{4,29,127,143,144}",22
80,BLANKET BEVERLY,2006,7,2.99,148,21.99,G,{Trailers},Family,"{16,173,193,200}",12
81,BLINDNESS GUN,2006,6,4.99,103,29.99,PG-13,"{Trailers,""Behind the Scenes""}",Sci-Fi,"{36,98,132}",14
82,BLOOD ARGONAUTS,2006,3,0.99,71,13.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Family,"{128,132,159,189}",10
83,BLUES INSTINCT,2006,5,2.99,50,18.99,G,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Family,"{24,106,122,181}",21
84,BOILED DARES,2006,7,4.99,102,13.99,PG,"{Trailers,Commentaries}",Travel,"{18,32,44,54,99,113,191,199}",15
85,BONNIE HOLOCAUST,2006,4,0.99,63,29.99,G,"{""Deleted Scenes""}",Documentary,"{5,27,60,85,101,126,147,162,179}",16
86,BOOGIE AMELIE,2006,6,4.99,121,11.99,R,"{Commentaries,""Behind the Scenes""}",Music,"{25,41,78,166,177,194}",29
88,BORN SPINAL,2006,7,4.99,179,17.99,PG,"{Trailers,Commentaries,""Deleted Scenes""}",Travel,"{21,31,44,59,64,69,116,135,194}",12
89,BORROWERS BEDAZZLED,2006,7,0.99,63,22.99,G,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Animation,"{15,22,43,81,129,161,176}",22
90,BOULEVARD MOB,2006,3,0.99,63,11.99,R,{Trailers},New,"{26,34,92,114,116,139,144,161}",18
91,BOUND CHEAPER,2006,5,0.99,98,17.99,PG,"{""Behind the Scenes""}",Classics,"{12,15}",24
92,BOWFINGER GABLES,2006,7,4.99,72,19.99,NC-17,"{Trailers,""Deleted Scenes""}",Horror,"{12,52,70,85,168}",11
93,BRANNIGAN SUNRISE,2006,4,4.99,121,27.99,PG,{Trailers},New,"{26,169}",12
94,BRAVEHEART HUMAN,2006,7,2.99,176,14.99,PG-13,"{Trailers,""Deleted Scenes""}",Family,"{44,92,131,150}",5
95,BREAKFAST GOLDFINGER,2006,5,4.99,123,18.99,G,"{Trailers,Commentaries,""Deleted Scenes""}",New,"{76,149,165,185,186}",17
96,BREAKING HOME,2006,4,2.99,169,21.99,PG-13,"{Trailers,Commentaries}",New,"{7,17,28,52,126,137}",13
97,BRIDE INTRIGUE,2006,7,0.99,56,24.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Action,{65},19
98,BRIGHT ENCOUNTERS,2006,4,4.99,73,12.99,PG-13,{Trailers},Drama,"{111,125,187,194}",13
99,BRINGING HYSTERICAL,2006,7,2.99,136,14.99,PG,{Trailers},Comedy,"{48,144}",20
100,BROOKLYN DESERT,2006,7,4.99,161,21.99,R,{Commentaries},Foreign,"{41,62,90,125,172}",21
101,BROTHERHOOD BLANKET,2006,3,0.99,73,26.99,R,"{""Behind the Scenes""}",Documentary,"{16,48,57,62,129}",26
102,BUBBLE GROSSE,2006,4,4.99,60,20.99,R,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Sports,"{158,170,188}",6
103,BUCKET BROTHERHOOD,2006,7,4.99,133,27.99,PG,"{Commentaries,""Deleted Scenes""}",Travel,"{26,32,51,89,92,193}",34
104,BUGSY SONG,2006,4,2.99,119,17.99,G,{Commentaries},Foreign,"{82,92}",11
105,BULL SHAWSHANK,2006,6,0.99,125,21.99,NC-17,"{""Deleted Scenes""}",Action,"{2,23,29,43,116,123,144,150}",16
106,BULWORTH COMMANDMENTS,2006,4,2.99,61,14.99,G,{Trailers},Games,"{1,65,124,173}",7
107,BUNCH MINDS,2006,4,2.99,63,13.99,G,"{""Behind the Scenes""}",Drama,"{12,28,40,98,130,139,142,167}",5
109,BUTTERFLY CHOCOLAT,2006,3,0.99,89,17.99,G,"{""Behind the Scenes""}",New,"{44,53,145,178,179,193,198}",30
110,CABIN FLASH,2006,4,0.99,53,25.99,NC-17,"{Commentaries,""Deleted Scenes""}",Children,"{13,29,83,187}",15
111,CADDYSHACK JEDI,2006,3,0.99,52,17.99,NC-17,"{Commentaries,""Deleted Scenes""}",Action,"{3,22,38,50,69,154,188}",16
112,CALENDAR GUNFIGHT,2006,4,4.99,120,22.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign,"{6,24,32,33,51,107,130,140}",21
113,CALIFORNIA BIRDS,2006,4,4.99,75,19.99,NC-17,"{Trailers,Commentaries,""Deleted Scenes""}",Sports,"{124,183}",12
114,CAMELOT VACATION,2006,3,0.99,61,26.99,NC-17,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Sci-Fi,"{57,125}",27
115,CAMPUS REMEMBER,2006,5,2.99,167,27.99,R,"{""Behind the Scenes""}",Action,"{8,45,168}",19
116,CANDIDATE PERDITION,2006,4,2.99,70,10.99,R,"{""Deleted Scenes"",""Behind the Scenes""}",Classics,"{23,105,113,200}",18
117,CANDLES GRAPES,2006,6,4.99,135,15.99,NC-17,"{Trailers,""Deleted Scenes""}",Games,"{23,45,65,74,89,146,192}",23
118,CANYON STOCK,2006,7,0.99,85,26.99,R,"{Trailers,""Deleted Scenes""}",Animation,"{11,37,80,100,103,149}",19
119,CAPER MOTIONS,2006,6,0.99,176,22.99,G,"{Trailers,Commentaries,""Deleted Scenes""}",Comedy,"{17,34,37,58,127,128,193}",24
120,CARIBBEAN LIBERTY,2006,3,4.99,92,16.99,NC-17,"{Commentaries,""Deleted Scenes""}",Sports,"{83,93,98,110,131,145,161,167}",9
121,CAROL TEXAS,2006,4,2.99,151,15.99,PG,"{Trailers,""Behind the Scenes""}",Animation,"{16,51,59,83,158,162,200}",18
122,CARRIE BUNCH,2006,7,0.99,114,11.99,PG,"{Trailers,Commentaries,""Behind the Scenes""}",Horror,"{37,53,57,76,94,157,196}",23
123,CASABLANCA SUPER,2006,6,4.99,85,22.99,G,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Travel,"{92,102,144,197}",16
124,CASPER DRAGONFLY,2006,3,4.99,163,16.99,PG-13,{Trailers},Children,"{17,64,80,93,102}",8
125,CASSIDY WYOMING,2006,5,2.99,61,19.99,NC-17,"{Commentaries,""Behind the Scenes""}",Travel,"{15,23,34,65,138,144,198}",6
126,CASUALTIES ENCINO,2006,3,4.99,179,16.99,G,{Trailers},Action,"{24,53,95,106,110}",9
127,CAT CONEHEADS,2006,5,4.99,112,14.99,G,"{Commentaries,""Deleted Scenes""}",Comedy,"{17,144,159,187}",30
129,CAUSE DATE,2006,3,2.99,179,16.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Documentary,"{54,59,62,175,195,197}",21
130,CELEBRITY HORN,2006,7,0.99,110,24.99,PG-13,"{""Deleted Scenes"",""Behind the Scenes""}",Action,"{59,103,144,195}",24
131,CENTER DINOSAUR,2006,5,4.99,152,12.99,PG,"{""Deleted Scenes""}",Classics,"{29,147,151,179}",24
132,CHAINSAW UPTOWN,2006,6,0.99,114,25.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Sci-Fi,"{2,134}",21
133,CHAMBER ITALIAN,2006,7,4.99,117,14.99,NC-17,{Trailers},Music,"{29,60,68,107,132,133,148}",13
134,CHAMPION FLATLINERS,2006,4,4.99,51,21.99,PG,{Trailers},Animation,"{48,57,63,96}",13
135,CHANCE RESURRECTION,2006,3,2.99,70,22.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Sports,"{33,58,83,140,144,194}",27
136,CHAPLIN LICENSE,2006,7,2.99,146,26.99,NC-17,"{""Behind the Scenes""}",New,"{32,104,106,107,118,153}",8
137,CHARADE DUFFEL,2006,3,2.99,66,21.99,PG,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Sci-Fi,"{86,92,108}",15
138,CHARIOTS CONSPIRACY,2006,5,2.99,71,29.99,R,"{""Deleted Scenes"",""Behind the Scenes""}",Sci-Fi,"{107,185}",21
139,CHASING FIGHT,2006,7,4.99,114,21.99,PG,"{Trailers,Commentaries}",Family,"{42,142,147,149,170}",20
140,CHEAPER CLYDE,2006,6,0.99,87,23.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Sci-Fi,"{1,20}",20
141,CHICAGO NORTH,2006,6,4.99,185,11.99,PG-13,"{""Deleted Scenes"",""Behind the Scenes""}",Games,"{79,118,121,127,143,154,193,195}",16
142,CHICKEN HELLFIGHTERS,2006,3,0.99,122,24.99,PG,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Documentary,"{21,60}",22
143,CHILL LUCK,2006,6,0.99,142,17.99,PG,"{Trailers,Commentaries,""Deleted Scenes""}",Drama,"{66,75,82,97,119}",22
145,CHISUM BEHAVIOR,2006,5,4.99,124,25.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Family,"{2,134,147,199}",13
146,CHITTY LOCK,2006,6,2.99,107,24.99,G,{Commentaries},Drama,"{5,20,22,31,37,101,149,165,166,171,178,184,188}",8
147,CHOCOLAT HARRY,2006,5,0.99,101,16.99,NC-17,"{Commentaries,""Behind the Scenes""}",Family,"{9,26,43,131,197}",20
149,CHRISTMAS MOONSHINE,2006,7,0.99,150,21.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Children,"{120,148,200}",21
150,CIDER DESIRE,2006,7,2.99,101,9.99,PG,"{""Behind the Scenes""}",Documentary,"{27,41,48,54,176}",19
151,CINCINATTI WHISPERER,2006,5,4.99,143,26.99,NC-17,"{""Deleted Scenes""}",Sci-Fi,"{49,112,118,123}",13
152,CIRCUS YOUTH,2006,5,2.99,90,13.99,PG-13,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Children,"{19,181}",15
153,CITIZEN SHREK,2006,7,0.99,165,18.99,G,"{Commentaries,""Deleted Scenes""}",Sci-Fi,"{25,51,57,77,94,149,152,155}",13
154,CLASH FREDDY,2006,6,2.99,81,12.99,G,"{Commentaries,""Deleted Scenes""}",Animation,"{13,14,17,33,121,145,173}",25
155,CLEOPATRA DEVIL,2006,6,0.99,150,26.99,PG-13,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",New,"{12,16,139,145,156,175,192}",18
156,CLERKS ANGELS,2006,3,4.99,164,15.99,G,{Commentaries},Documentary,"{104,110,132,196}",7
157,CLOCKWORK PARADISE,2006,7,0.99,143,29.99,PG-13,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Children,"{87,109,122,127,138}",10
158,CLONES PINOCCHIO,2006,6,2.99,124,16.99,R,"{""Behind the Scenes""}",Music,"{8,65,105,122,154}",19
159,CLOSER BANG,2006,5,4.99,58,12.99,R,"{Trailers,""Behind the Scenes""}",Comedy,"{21,41,149,157,179,199}",28
160,CLUB GRAFFITI,2006,4,0.99,65,12.99,PG-13,"{Trailers,""Deleted Scenes""}",Animation,"{38,137,178,182}",19
161,CLUE GRAIL,2006,6,4.99,70,27.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Music,"{43,68,87,121,134,194}",7
162,CLUELESS BUCKET,2006,4,2.99,95,13.99,R,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Action,"{13,89,107,111,114,132,173,176}",25
163,CLYDE THEORY,2006,4,0.99,139,29.99,PG-13,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",New,"{31,40,86,194}",8
164,COAST RAINBOW,2006,4,0.99,55,20.99,PG,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Documentary,"{6,24,31,45,48,144,162,178,193,197}",21
165,COLDBLOODED DARLING,2006,7,4.99,70,27.99,G,"{Trailers,""Deleted Scenes""}",Sci-Fi,"{6,20,83,107}",16
166,COLOR PHILADELPHIA,2006,6,2.99,149,19.99,G,"{Commentaries,""Behind the Scenes""}",Classics,"{1,106,122,129,163,171,192}",24
167,COMA HEAD,2006,6,4.99,109,10.99,NC-17,{Commentaries},Travel,"{63,117,151}",26
168,COMANCHEROS ENEMY,2006,5,0.99,67,23.99,R,"{Trailers,""Behind the Scenes""}",Children,"{39,128,150,174,187}",6
169,COMFORTS RUSH,2006,3,2.99,76,19.99,NC-17,"{Commentaries,""Behind the Scenes""}",Travel,"{149,154,164,184,196}",17
170,COMMAND DARLING,2006,5,4.99,120,28.99,PG-13,"{""Behind the Scenes""}",Foreign,"{7,75,88,121,135,139,151,154}",16
172,CONEHEADS SMOOCHY,2006,7,4.99,112,12.99,NC-17,"{""Deleted Scenes"",""Behind the Scenes""}",Drama,"{5,18,27,29,34,47,107,119,133}",25
173,CONFESSIONS MAGUIRE,2006,7,4.99,65,25.99,PG-13,"{""Behind the Scenes""}",Drama,"{7,112,119,190}",14
174,CONFIDENTIAL INTERVIEW,2006,6,4.99,180,13.99,NC-17,{Commentaries},Music,"{46,109}",29
175,CONFUSED CANDLES,2006,3,2.99,122,27.99,PG-13,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Family,"{58,80,84,125,143,177}",17
176,CONGENIALITY QUEST,2006,6,0.99,87,21.99,PG-13,"{Commentaries,""Behind the Scenes""}",Sports,"{38,44,91}",22
177,CONNECTICUT TRAMP,2006,4,4.99,172,20.99,R,"{Commentaries,""Deleted Scenes""}",Sci-Fi,"{12,16,40,60,97,146,158}",13
178,CONNECTION MICROCOSMOS,2006,6,0.99,115,25.99,G,"{""Deleted Scenes"",""Behind the Scenes""}",Comedy,"{24,50,81,117,147,149,158}",7
179,CONQUERER NUTS,2006,4,4.99,173,14.99,G,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Drama,"{8,21,25,60,111,192}",16
180,CONSPIRACY SPIRIT,2006,4,2.99,184,27.99,PG-13,"{Trailers,Commentaries}",Classics,"{43,153,163,170}",5
181,CONTACT ANONYMOUS,2006,7,2.99,166,10.99,PG-13,{Commentaries},Travel,"{53,91,113,139,171}",26
182,CONTROL ANTHEM,2006,7,4.99,185,9.99,G,{Commentaries},Comedy,"{19,34,89}",7
183,CONVERSATION DOWNHILL,2006,4,4.99,112,14.99,R,{Commentaries},Family,"{59,98,157}",17
184,CORE SUIT,2006,3,2.99,92,24.99,PG-13,"{""Deleted Scenes""}",Classics,"{54,104,144,170}",18
185,COWBOY DOOM,2006,3,2.99,146,10.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Foreign,"{3,74,123,140,191}",7
186,CRAFT OUTFIELD,2006,6,0.99,64,17.99,NC-17,"{""Deleted Scenes"",""Behind the Scenes""}",Drama,"{26,60,81,121,142,198}",16
187,CRANES RESERVOIR,2006,5,2.99,57,12.99,NC-17,{Commentaries},Sports,"{14,45,76,89,159,186}",11
188,CRAZY HOME,2006,7,2.99,136,24.99,PG,"{Commentaries,""Deleted Scenes""}",Comedy,"{31,82,97,112,114,125,141,149,158,161,168,173,177}",9
189,CREATURES SHAKESPEARE,2006,3,0.99,139,23.99,NC-17,"{Trailers,""Deleted Scenes""}",Games,"{101,106,197}",16
190,CREEPERS KANE,2006,5,4.99,172,23.99,NC-17,"{Trailers,""Behind the Scenes""}",Classics,"{91,109,117,124,150,175}",14
191,CROOKED FROGMEN,2006,6,0.99,143,27.99,PG-13,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Children,"{9,10,141,146,167,175}",23
193,CROSSROADS CASUALTIES,2006,5,2.99,153,20.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Animation,"{6,88,94,126,136,149,154,179}",21
194,CROW GREASE,2006,6,0.99,104,22.99,PG,"{Trailers,Commentaries,""Behind the Scenes""}",Action,"{24,41,81,98,102,106,111,114,126,178}",12
196,CRUELTY UNFORGIVEN,2006,7,0.99,69,29.99,G,"{""Deleted Scenes"",""Behind the Scenes""}",Classics,"{86,168}",7
197,CRUSADE HONEY,2006,4,2.99,112,27.99,R,{Commentaries},Sports,"{32,55,64,90,97,103,117,146,178}",8
199,CUPBOARD SINNERS,2006,4,2.99,56,29.99,R,"{""Behind the Scenes""}",Documentary,"{17,24,32,58,87,103,126,142}",23
200,CURTAIN VIDEOTAPE,2006,7,0.99,133,27.99,PG-13,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Games,"{9,102,139}",27
201,CYCLONE FAMILY,2006,7,2.99,176,18.99,PG,"{Trailers,""Deleted Scenes""}",Foreign,"{17,26,35}",15
202,DADDY PITTSBURGH,2006,5,4.99,161,26.99,G,"{""Deleted Scenes"",""Behind the Scenes""}",Comedy,"{5,69,70,127,129}",13
203,DAISY MENAGERIE,2006,5,4.99,84,9.99,G,"{Trailers,Commentaries,""Behind the Scenes""}",Sci-Fi,"{5,13,39,41,52,74,153}",16
204,DALMATIONS SWEDEN,2006,4,0.99,106,25.99,PG,"{Trailers,Commentaries,""Deleted Scenes""}",Drama,"{9,25,37,106,125,165}",20
